X,Y,type,name,longitude,latitude
-300278.1816,7128291.88,police,Fulwood Police Station,-2.6974448001889724,53.778361598586926
-179312.8346,7356650.205,police,Market Street Police Station,-1.6107945995997575,54.97311590180083
-172623.4795,6579003.404,police,Lymington Police Station,-1.5507031003274288,50.760304600115546
-36760.01131,6674471.748,police,Leatherhead,-0.3302208000417947,51.299657099558566
-233404.222,6780950.626,police,Gloucestershire Constabulary,-2.0967058000062586,51.89382640218853
-332636.2417,7057627.051,police,Merseyside Police Headquarters,-2.988122199711853,53.401577199494426
-165823.7733,6761656.406,police,Witney Police Station,-1.489620300257606,51.7867379026376
12479.49378,6844557.785,police,Histon Sector Police Station,0.11210520000648501,52.245062600844925
-322820.8349,7048921.905,police,Garston Police Station,-2.8999489002289462,53.354928799482636
-128846.611,6782053.215,police,Bicester Police Station,-1.1574487996830245,51.89993839724962
-20853.44681,6663292.562,police,Reigate Police Station,-0.1873296999599648,51.23682409994322
94912.12218,6644583.8,police,Stanhope Police,0.8526101000251343,51.131478599340646
29380.64226,6873062.282,police,Ely Police Station,0.26393079999405916,52.4015677012033
-329822.1629,7054998.177,police,Admiral Street Police Station,-2.962842899744286,53.38749519735754
-220621.6609,6577349.298,police,Gravel Hill,-1.9818780999430419,50.75090430221907
-64252.05161,6663751.008,police,Guildford Divisional Headquarters,-0.577185999972993,51.23940250089291
-108874.8702,6754968.927,police,Thame,-0.9780395995718902,51.74956100177565
125539.5316,6686566.849,police,Herne Bay Police Station,1.1277407999748563,51.367541299253716
128049.2741,6810635.948,police,Ipswich Police Station,1.1502862004443997,52.058091401941496
46264.69207,6732130.332,police,Billericay Police Station,0.41560280001564215,51.622366200603615
-175370.9669,7318211.158,police,University Police Station,-1.5753841995708868,54.77443560137127
-8779.523336,6762944.044,police,Hertford Police Station,-0.0788678000001281,51.793892599198195
-22660.24007,6696117.558,police,Wimbledon Police Station,-0.20356039996698613,51.42107400110348
-17806.92178,6696209.868,police,Tooting Police Station,-0.15996229998094794,51.421591102475105
-39414.20192,6766892.082,police,Harpenden Police Station,-0.3540637999610899,51.81582260187666
-52160.68437,6735224.077,police,Rickmansworth Police Station,-0.4685673999970523,51.639617097649406
-271506.6796,7000993.081,police,Crewe Police Station,-2.4389860002522186,53.09717580258747
-9613.64028,6724720.27,police,St. Anns Police Station,-0.08636079999551075,51.58102059727905
-1101.484098,6706283.136,police,Greenwich Police Station,-0.009894800004480047,51.47798430062371
-8240.091347,6859576.853,police,St Ives Police Station,-0.07402199999551114,52.32759440153623
-123970.1272,6920334.464,police,Belgrave Police Station,-1.1136426003800122,52.65989849999286
-128155.3393,6915163.343,police,Hinckley Road Police Station,-1.1512390003471318,52.63171360106398
-122896.562,6906235.803,police,Wigston Police Station,-1.1039986001034239,52.583011797529956
-14430.30106,6697772.365,police,Streatham Police Station,-0.1296295999664413,51.43034299723579
-129.4645678,6733834.097,police,Chingford Police Station,-0.0011630000000666804,51.631867302197676
-8469.698929,6671407.387,police,Caterham Police Station,-0.07608459999811441,51.28244229979956
-399113.2694,7274561.518,police,Whitehaven Police Station,-3.585295499969321,54.5476342023638
-44563.96402,7120908.791,police,Pickering Road Police Station,-0.4003249000011843,53.739152100920144
-44957.07767,6700676.365,police,Feltham Police Station,-0.4038563000030944,51.44660449757094
-22630.16155,6710487.428,police,Parks Police,-0.2032902000245892,51.50150059797637
-210746.097,6879727.715,police,Kings Heath Police Station,-1.8931644000363521,52.4380847006543
-22074.5437,6737538.615,police,Barnet Police Station,-0.19829899995674288,51.65251880263851
-3867.728916,6746673.487,police,Cheshunt Police Station,-0.034744400000738286,51.7034026005531
-310624.972,6600292.3,police,Crewkerne Police Station,-2.790391599767984,50.88112109934858
-49109.6175,7141381.384,police,Beverley Police Station,-0.4411591999751352,53.84778630145636
-193205.5628,7137283.873,police,Eccleshill Police Station,-1.7355951004015406,53.82606610109259
-109149.2171,6712952.322,police,Sonning Common Police Office,-0.9805040997060982,51.51528210225982
-176016.364,7320730.027,police,Durham Constabulary HQ,-1.581181900363451,54.78748490087191
-25474.1185,6711315.141,police,Shepherd's Bush,-0.22883789998021856,51.506128900919755
-20998.52951,6860461.889,police,Huntingdon Police Station,-0.18863300002867806,52.332452997466476
-559.424969,6584652.566,police,Peacehaven Police Station,-0.005025399999707895,50.79239460029666
127316.7918,6859230.541,police,Eye Police Station,1.1437061999900295,52.32569310188651
-318112.41,7184111.882,police,Morecambe Police Station,-2.8576523997109566,54.07362260263395
-30588.77043,6711748.712,police,Acton Police Station,-0.27478359999692265,51.50855310187981
-26507.49734,6757912.531,police,Hatfield Police Station And Magistrates Court,-0.2381209000427956,51.76592879948244
8924.027167,6720981.24,police,Ilford Police Station,0.08016590000013933,51.56014380103838
-58289.25648,6779359.369,police,Dunstable Police Station,-0.5236212999594686,51.885004101974765
2546.121657,6730242.461,police,Woodford Police Station,0.022872199997108218,51.61183610186207
-214649.9714,6891693.709,police,Handsworth Police Station,-1.9282335004443818,52.503565299208546
-101554.4783,6680000.643,police,Bramshill Police Staff College,-0.9122794002767427,51.33070069812998
-18726.777,6715986.533,police,St. John's Wood Police Station,-0.16822550001397918,51.53224099927418
-16030.91949,6714968.091,police,Albany Street Police Station,-0.14400819996356523,51.526549398942336
-124490.1673,6913983.025,police,Campus Park Police Office,-1.1183142000818624,52.6252777990255
-8904.746631,6713383.225,police,Bishopsgate Police Station,-0.07999269999839116,51.517690902157014
-194931.2932,7130114.786,police,West Yorkshire Police,-1.7510976003474372,53.78803690250577
