x,y,type,name
-60829.62292,6709524.049,police,Langley Poloce Station
-86467.36995,6723432.009,police,Marlow Police Station
-42855.49927,6727363.082,police,Pinner Police Station
-230151.3106,6886434.988,police,Old Hill Police Station
-94205.91133,6670472.347,police,Fleet Police Station
97259.9059,6776766.767,police,Shrub End
48891.64281,6725735.955,police,Laindon Traffic Police HQ
-16430.38949,6944218.024,police,Spalding Police Station
-156035.7844,6598564.249,police,Hythe Police Station
-319553.7859,7128895.833,police,Kirkham Police Station
-65653.48608,7018303.654,police,North Hykeham Police Office
-15019.1923,6715206.049,police,British Transport Police
-66515.78912,6711501,police,Slough Police Station
-260497.2153,6983514.622,police,Madeley Police Station
-109531.9001,6584131.005,police,Hayling Island
-218872.2194,6748907.432,police,Cirencester Police Station
-253975.485,6768833.175,police,Gloucester South Police Station
-309777.4745,7075344.108,police,Rainford Police Station
-340278.2023,7086927.658,police,Formby Police Station
-261633.9432,7056298.038,police,Altrincham Police Station
-47596.09544,6723838.855,police,Ruislip Police Station
-266424.9559,7146184.943,police,Clitheroe Police Station
-48327.21959,7171509.455,police,Driffield Police Station
-46890.84194,6778189.433,police,Luton HQ
-42750.15763,6991855.285,police,Ruskington Community Police Box
-262063.6587,7066778.869,police,Urmston Police Station
5610.045926,6882444.28,police,Chatteris Police Station
-279423.4212,7075143.412,police,GMP Divisional HQ Leigh
-14944.04051,6613537.823,police,Burgess Hill Police Station
48436.85816,6673366.742,police,East Malling Neighbourhood Safety Office
-11013.46061,6678992.58,police,Kenley Police Station
-305850.0004,6643095.673,police,Street Police Station
-164705.0903,6657758.603,police,Andover Police Station
-277507.3233,7081049.414,police,Atherton Police Station
-95913.26289,6688647.411,police,Thames Valley Police (Finchampstead Base)
-144822.8838,7273133.905,police,Thornaby Police Station
-25553.72307,6702224.856,police,West Putney Ward Metropolitain Police
-141547.7085,7147978.573,police,Tadcaster Police Station
-293722.7994,6610261.974,police,Yeovil Police Station
-99582.6316,6843974.996,police,Campbell Square Police Station
-48426.30507,6714701.012,police,Hayes Police Station
-532891.7569,6505306.522,police,St Austell Police Station
-14247.43654,6901478.393,police,Whittlesey Police Station
-220250.8446,6873659.896,police,Longbridge Police Station
-216767.6577,6892112.435,police,Handsworth West Police Station
-172632.5409,6660042.572,police,Weyhill
-133472.4146,6983276.31,police,Bulwell Police Station
-420506.6714,6496380.049,police,Kingsbridge Police Station
-178233.5477,7353885.245,police,Gateshead Police Station
8955.875673,6726035.217,police,Barkingside Police Station
61729.9527,6778352.88,police,Braintree Police Station
-18195.05945,6706780.966,police,Park Police
-6249.331498,6969702.74,police,Kirton Police Station
-243246.9912,7154310.219,police,Barnoldswick Police Station
-12896.47433,7021247.985,police,Horncastle Police Station
-321007.24,7072510.866,police,Kirkby Police Station
-397711.7904,6522930.423,police,Paignton Police Station
-125016.33,6911406.234,police,Welford Road Police Station
-18280.41924,6651619.315,police,CLOSED
-150673.5468,7266969.442,police,Yarm Police Station
-149592.334,7214345.335,police,Thirsk Police Station
9469.236637,6729555.538,police,Limes Farm Police Office
-212271.6082,7030755.509,police,'B' Divisional Headquarters
-91201.64317,6681530.925,police,Yateley
-249024.2946,6998693.625,police,Kidsgrove Town Hall Police Enquiry Office
