type,name,latitude,longitude
NHS Hospital,Fairmile House,50.74319458,-1.792006493
NHS Hospital,Pebble Lodge,50.71672821,-1.904407144
NHS Hospital,Oakcroft,50.78026581,-1.97830379
NHS Hospital,Weymouth Community Hospital,50.62104034,-2.450997829
NHS Hospital,Westhaven Hospital,50.615242,-2.480030775
NHS Hospital,Portland Hospital,50.5658226,-2.444808483
NHS Hospital,Bridport Community Hospital,50.74161148,-2.769914389
NHS Hospital,Blandford Community Hospital,50.86307526,-2.167970181
NHS Hospital,Westminster Memorial Hospital,51.00472641,-2.200136185
NHS Hospital,Yeatman Hospital,50.94966888,-2.519826412
NHS Hospital,Wareham Community Hospital,50.68698883,-2.116732836
NHS Hospital,Victoria Hospital,50.80220032,-1.995904088
NHS Hospital,Swanage Community Hospital,50.60551453,-1.961199522
NHS Hospital,St Leonards Community Hospital (Dorset),50.81726456,-1.856563926
NHS Hospital,Christchurch Hospital,50.74516678,-1.790141106
NHS Hospital,Royal Bournemouth Hospital,50.74748611,-1.820505619
NHS Hospital,Elmville Unit at Monkton Hall,54.96662521,-1.501260161
NHS Hospital,South Tyneside District Hospital,54.97120285,-1.428439617
NHS Hospital,Primrose Hill Hospital,54.967659,-1.485705614
NHS Hospital,Palmer Community Hospital,54.98065948,-1.49196136
NHS Hospital,West Cornwall Hospital (Penzance),50.1220665,-5.542964458
NHS Hospital,St Michael's Hospital,50.1803627,-5.42441082
NHS Hospital,Royal Cornwall Hospital (Treliske),50.26656723,-5.094250202
NHS Hospital,Aintree University Hospital,53.46632767,-2.931089401
NHS Hospital,Royal Liverpool University Hospital,53.40951157,-2.964794159
NHS Hospital,Liverpool Women's NHS Foundation Trust,53.3984642,-2.960062504
NHS Hospital,The Walton Centre ,53.46640015,-2.930985451
NHS Hospital,King George Hospital,51.58054352,0.112121284
NHS Hospital,Queen's Hospital,51.56942749,0.180405304
NHS Hospital,Barnsley Hospital,53.55913544,-1.499477983
NHS Hospital,Rotherham Hospital,53.41397476,-1.342865467
NHS Hospital,Chesterfield Royal Hospital,53.2362175,-1.400036573
NHS Hospital,The Mount,53.80408096,-1.558837056
NHS Hospital,St Mary's Hospital,53.79990768,-1.612384319
NHS Hospital,Newsam Centre,53.80493927,-1.471471786
NHS Hospital,Becklin Centre,53.80526352,-1.524477124
NHS Hospital,Royal Papworth Hospital,52.17238617,0.136189625
NHS Hospital,Stamford and Rutland Hospital,52.65537262,-0.468735933
NHS Hospital,Peterborough City Hospital,52.58392334,-0.279370904
NHS Hospital,James Paget University Hospital,52.5616684,1.717994452
NHS Hospital,West Suffolk Hospital,52.23166275,0.70919019
NHS Hospital,Addenbrooke's,52.17513275,0.140753239
NHS Hospital,Rosie Hospital,52.17326355,0.139422864
NHS Hospital,Royston Hospital,52.04151917,-0.022399887
NHS Hospital,Saffron Walden Community Hospital,52.02359009,0.256292522
NHS Hospital,Wellington Community Hospital,50.97667694,-3.227399349
NHS Hospital,Chard  Community Hospital,50.875,-2.952359438
NHS Hospital,Minehead Community Hospital,51.20011902,-3.461884022
NHS Hospital,Williton Community Hospital,51.1628952,-3.323194981
NHS Hospital,Shepton Mallet Community Hospital,51.19057846,-2.562471867
NHS Hospital,West Mendip Community Hospital,51.16048431,-2.699217319
NHS Hospital,Crewkerne Community Hospital,50.88012314,-2.797923803
